smiles,chembl_id,potency,pec50,category
Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)O)C(C)(C)CCC2(C)C,CHEMBL1023,434,6.36251027048749,active
CCc1nc2c(cccc2nc1c3ccc(cc3)c4cccc(c4)S(=O)(=O)C)C(F)(F)F,CHEMBL1089232,2805,5.56977709098753,inactive
CS(=O)(=O)c1cccc(c1)c2ccc(CN(Cc3ccc(F)cc3Cl)S(=O)(=O)c4ccccc4)cc2,CHEMBL1091034,3.162,8.50003813440381,active
Cc1ccccc1S(=O)(=O)N(Cc2ccc(cc2)c3cccc(c3)S(=O)(=O)C)Cc4c(F)cccc4Cl,CHEMBL1091976,3.162,8.50003813440381,active
Cn1cnc(c1)S(=O)(=O)N(Cc2ccc(cc2)c3cccc(c3)S(=O)(=O)C)Cc4c(F)cccc4Cl,CHEMBL1092952,79.43,7.10001543745061,active
Cc1nc2c(Cl)cccc2nc1c3ccc(cc3)c4cccc(c4)S(=O)(=O)C,CHEMBL1093499,860,6.06550154875643,active
Cc1cc(C)c(c(C)c1)S(=O)(=O)N(Cc2ccc(cc2)c3cccc(c3)S(=O)(=O)C)Cc4c(F)cccc4Cl,CHEMBL1093523,15.85,7.79997073344623,active
CS(=O)(=O)c1cccc(c1)c2ccc(CN(Cc3c(F)cccc3Cl)S(=O)(=O)c4ccccc4)cc2,CHEMBL1093554,1,9,active
Cc1cc(C)c(c(C)c1)S(=O)(=O)N(Cc2ccc(cc2)c3cccc(c3)S(=O)(=O)C)Cc4ccc(F)cc4Cl,CHEMBL1093828,100,7,active
CS(=O)(=O)c1cccc(c1)c2ccc(CN(Cc3c(F)cccc3Cl)S(=O)(=O)C4CC4)cc2,CHEMBL1093840,19.95,7.70005709997723,active
Cc1cnc2c(cccc2c1c3cccc(c3)c4cccc(c4)S(=O)(=O)C)C(F)(F)F,CHEMBL1094741,284,6.54668165995296,active
CS(=O)(=O)c1cccc(c1)c2cccc(c2)c3ccnc4c(cccc34)C(F)(F)F,CHEMBL1095714,525,6.27984069659404,active
CCCc1cnc2c(cccc2c1c3cccc(c3)c4cccc(c4)S(=O)(=O)C)C(F)(F)F,CHEMBL1096719,106,6.97469413473523,active
CS(=O)(=O)c1cc(c(F)cc1F)c2cccc(c2)c3ccnc4c(cccc34)C(F)(F)F,CHEMBL1097140,565,6.24795155218056,active
Cc1cnc2c(cccc2c1c3cccc(c3)c4ccc(F)c(c4)S(=O)(=O)C)C(F)(F)F,CHEMBL1097158,161,6.79317412396815,active
Cc1cnc2c(cccc2c1c3cccc(c3)c4cc(c(F)cc4F)S(=O)(=O)C)C(F)(F)F,CHEMBL1097159,195,6.70996538863748,active
CS(=O)(=O)c1cc(ccc1F)c2cccc(c2)c3ccnc4c(cccc34)C(F)(F)F,CHEMBL1097160,512,6.29073003902417,active
CC(C)c1cnc2c(cccc2c1c3cccc(c3)c4cccc(c4)S(=O)(=O)C)C(F)(F)F,CHEMBL1097799,91,7.04095860767891,active
CS(=O)(=O)c1cccc(c1)c2cccc(c2)c3c(Cc4ccccc4)cnc5c(cccc35)C(F)(F)F,CHEMBL1098401,100,7,active
CS(=O)(=O)c1ccc(cc1)c2cccc(c2)c3c(Cc4ccccc4)cnc5c(cccc35)C(F)(F)F,CHEMBL1098402,3300,5.48148606012211,inactive
CCc1cnc2c(cccc2c1c3cccc(c3)c4cccc(c4)S(=O)(=O)C)C(F)(F)F,CHEMBL1098403,76,7.11918640771921,active
CCS(=O)(=O)c1cccc(c1)c2cccc(c2)c3ccnc4c(cccc34)C(F)(F)F,CHEMBL1098831,1080,5.96657624451305,inactive
CCS(=O)(=O)c1cccc(c1)c2cccc(c2)c3c(C)cnc4c(cccc34)C(F)(F)F,CHEMBL1098832,580,6.23657200643706,active
Cc1ccc(cc1S(=O)(=O)C)c2cccc(c2)c3c(C)cnc4c(cccc34)C(F)(F)F,CHEMBL1098850,175,6.75696195131371,active
Cc1cc(ccc1N)c2nc3ccccc3s2,CHEMBL11825,67649,4.16973861884007,inactive
CC(C)c1onc(c1COc2ccc(N(C)Cc3ccc(cc3)C(=O)O)c(n2)C(F)(F)F)c4c(Cl)cccc4Cl,CHEMBL1209109,10000,5,inactive
CN(Cc1cccc(c1)C(=O)O)c2ccc(OCc3c(onc3c4c(Cl)cccc4Cl)C5CC5)nc2C(F)(F)F,CHEMBL1209170,10000,5,inactive
CN(Cc1ccc(cc1)C(=O)O)c2ccc(OCc3c(onc3c4c(Cl)cccc4Cl)C5CC5)nc2C(F)(F)F,CHEMBL1209173,10000,5,inactive
CS(=O)(=O)O.Nc1nc(N)c(nc1Cl)C(=O)NC(=N)Nc2ccccc2,CHEMBL1256775,67525,4.17053540714051,inactive
Brc1ccccc1C2NC(=NO2)c3ccccc3,CHEMBL1300206,67547,4.17039393476006,inactive
CC(N(C)C(=O)CCc1oc(CCC2CCCCC2)nn1)c3cccs3,CHEMBL1300345,67541,4.17043251356636,inactive
