,Num,thre,Opt_p_cl(N_est),Opt_p_cl(Max_f),MCC(cl),Error(cl),Accur(cl),Opt_p_reg(N_est),Opt_p_reg(Max_f),MCC(reg.),Error(reg),Accur(reg)
0,1.0,6.0,500.0,256.0,0.6336623134351381,0.15555555555555559,0.8444444444444444,500.0,768.0,0.5581699797719797,0.18518518518518517,0.8148148148148149
1,2.0,6.0,300.0,512.0,0.6132964173808857,0.17962962962962964,0.8203703703703704,300.0,512.0,0.5906839950704104,0.18611111111111112,0.8138888888888889
2,3.0,6.0,500.0,256.0,0.6952867596583229,0.12962962962962965,0.8703703703703702,500.0,512.0,0.654323529616037,0.1462962962962963,0.8537037037037039
3,4.0,6.0,300.0,256.0,0.662194115824178,0.15555555555555556,0.8444444444444444,500.0,512.0,0.5660847946367172,0.18333333333333335,0.8166666666666667
4,5.0,6.0,300.0,768.0,0.6478810068740127,0.15925925925925927,0.8407407407407408,101.0,512.0,0.6281441883825062,0.15462962962962962,0.8453703703703704
5,6.0,6.0,101.0,768.0,0.6543789106092321,0.16296296296296295,0.837037037037037,500.0,512.0,0.5295659985607039,0.20555555555555557,0.7944444444444445
6,7.0,6.0,300.0,512.0,0.7057177342799607,0.1277777777777778,0.8722222222222221,500.0,512.0,0.6313582933925879,0.15185185185185185,0.8481481481481483
7,8.0,6.0,300.0,512.0,0.6355375263752946,0.16666666666666666,0.8333333333333334,500.0,512.0,0.6174591978387809,0.17777777777777776,0.8222222222222222
8,9.0,6.0,101.0,768.0,0.5254288476334403,0.21388888888888888,0.7861111111111111,300.0,768.0,0.5062585450671574,0.21203703703703702,0.7879629629629629
9,10.0,6.0,300.0,512.0,0.7103675373332079,0.1287037037037037,0.8712962962962962,500.0,512.0,0.6455524603467353,0.1574074074074074,0.8425925925925926
10,11.0,6.0,101.0,512.0,0.656163370637082,0.14814814814814814,0.8518518518518519,500.0,768.0,0.6044359461912512,0.16203703703703703,0.837962962962963
11,12.0,6.0,101.0,256.0,0.6354147547404165,0.1574074074074074,0.8425925925925926,300.0,512.0,0.6232148143257172,0.16574074074074072,0.8342592592592594
12,13.0,6.0,500.0,768.0,0.7064252191274327,0.13796296296296298,0.862037037037037,300.0,512.0,0.6460800727877505,0.15925925925925927,0.8407407407407407
13,14.0,6.0,300.0,256.0,0.670438293683544,0.1472222222222222,0.8527777777777779,500.0,256.0,0.6036029885444775,0.16666666666666669,0.8333333333333334
14,15.0,6.0,500.0,256.0,0.6869312432950929,0.1435185185185185,0.8564814814814815,300.0,768.0,0.5668757740281365,0.18703703703703703,0.812962962962963
15,16.0,6.0,500.0,256.0,0.6899093774289172,0.13425925925925924,0.8657407407407408,500.0,768.0,0.4520003272148288,0.21759259259259256,0.7824074074074074
16,17.0,6.0,500.0,512.0,0.7342818494359177,0.11759259259259258,0.8824074074074074,500.0,512.0,0.5495334359174802,0.1861111111111111,0.8138888888888889
17,18.0,6.0,300.0,256.0,0.7044499522954615,0.12592592592592594,0.874074074074074,500.0,512.0,0.6217018942280494,0.16111111111111112,0.8388888888888889
18,19.0,6.0,101.0,256.0,0.6389979996700424,0.15,0.85,500.0,256.0,0.6166811364247,0.1574074074074074,0.8425925925925926
19,20.0,6.0,300.0,512.0,0.674259952868017,0.14259259259259258,0.8574074074074074,500.0,256.0,0.5436922337292744,0.18888888888888888,0.8111111111111111
20,21.0,6.0,500.0,768.0,0.7322920439183436,0.11481481481481481,0.8851851851851851,101.0,512.0,0.5278112460392195,0.19351851851851853,0.8064814814814815
21,22.0,6.0,500.0,768.0,0.6619123954516228,0.1527777777777778,0.8472222222222223,300.0,512.0,0.5930787203385667,0.1833333333333333,0.8166666666666667
22,23.0,6.0,500.0,256.0,0.7365264279598577,0.11388888888888889,0.8861111111111111,500.0,512.0,0.6242206495757758,0.15555555555555556,0.8444444444444444
23,24.0,6.0,500.0,256.0,0.6814904806293736,0.137037037037037,0.8629629629629629,300.0,512.0,0.4846401358175164,0.21574074074074073,0.7842592592592592
24,25.0,6.0,101.0,512.0,0.6996055610505879,0.13703703703703704,0.8629629629629629,500.0,512.0,0.6704446032963527,0.137037037037037,0.8629629629629629
25,26.0,6.0,101.0,256.0,0.6217784114092895,0.1685185185185185,0.8314814814814815,300.0,768.0,0.5728535736490132,0.18425925925925923,0.8157407407407409
26,27.0,6.0,101.0,768.0,0.7245957432614152,0.11666666666666665,0.8833333333333334,500.0,512.0,0.5666673383531974,0.17685185185185184,0.8231481481481481
27,28.0,6.0,300.0,512.0,0.6746081863005754,0.14166666666666666,0.8583333333333332,300.0,512.0,0.5532446164153109,0.1814814814814815,0.8185185185185185
28,29.0,6.0,500.0,256.0,0.6879430496550055,0.13055555555555556,0.8694444444444445,500.0,512.0,0.47677560042417877,0.2111111111111111,0.7888888888888889
29,30.0,6.0,300.0,512.0,0.6001098951288315,0.17962962962962964,0.8203703703703704,300.0,512.0,0.5634487836552144,0.18611111111111112,0.8138888888888889
30,1.0,5.0,300.0,32.0,0.8347506549969967,0.08333333333333333,0.9166666666666666,500.0,32.0,0.806102530176225,0.09722222222222222,0.9027777777777777
31,2.0,5.0,500.0,32.0,0.8936818831112742,0.05277777777777778,0.9472222222222222,500.0,32.0,0.8438373084769468,0.07962962962962963,0.9203703703703703
32,3.0,5.0,500.0,32.0,0.8668502568253269,0.06666666666666668,0.9333333333333333,500.0,32.0,0.8394950069605279,0.08055555555555556,0.9194444444444443
33,4.0,5.0,300.0,32.0,0.861292750575393,0.07314814814814814,0.9268518518518519,500.0,32.0,0.8801758014291888,0.06018518518518519,0.9398148148148147
34,5.0,5.0,300.0,32.0,0.7972284186577788,0.10277777777777777,0.8972222222222221,500.0,32.0,0.7747244478103947,0.11296296296296296,0.8870370370370371
35,6.0,5.0,101.0,32.0,0.8846916949674355,0.05833333333333333,0.9416666666666668,300.0,32.0,0.8827507736592203,0.059259259259259255,0.9407407407407407
36,7.0,5.0,300.0,32.0,0.8292863662374307,0.08518518518518518,0.9148148148148149,300.0,32.0,0.8338344479332822,0.08333333333333333,0.9166666666666666
37,8.0,5.0,500.0,32.0,0.8174922676133252,0.09166666666666666,0.9083333333333334,500.0,32.0,0.8386171406741567,0.08055555555555556,0.9194444444444443
38,9.0,5.0,500.0,32.0,0.8568414943186781,0.07222222222222222,0.9277777777777778,300.0,32.0,0.8392333699783322,0.08055555555555556,0.9194444444444445
39,10.0,5.0,300.0,32.0,0.8508093802277383,0.075,0.925,300.0,32.0,0.7956813859894994,0.10555555555555556,0.8944444444444445
40,11.0,5.0,500.0,32.0,0.8628523372253166,0.0685185185185185,0.9314814814814815,500.0,32.0,0.8524760896954506,0.07592592592592592,0.924074074074074
41,12.0,5.0,300.0,32.0,0.8339421775602341,0.08240740740740742,0.9175925925925927,300.0,32.0,0.8364746623035988,0.08333333333333334,0.9166666666666666
42,13.0,5.0,500.0,32.0,0.8038497380976933,0.0962962962962963,0.9037037037037038,500.0,32.0,0.7611513625068911,0.11759259259259258,0.8824074074074074
43,14.0,5.0,101.0,32.0,0.8203202668275829,0.08981481481481482,0.9101851851851853,500.0,32.0,0.8532834163452796,0.07407407407407407,0.9259259259259259
44,15.0,5.0,500.0,32.0,0.8556256333957787,0.07222222222222222,0.9277777777777777,300.0,32.0,0.8114379621349812,0.0962962962962963,0.9037037037037037
45,16.0,5.0,300.0,32.0,0.8233020929896604,0.08888888888888888,0.9111111111111112,500.0,32.0,0.7873904928492325,0.10925925925925925,0.8907407407407408
46,17.0,5.0,300.0,32.0,0.8032835758692428,0.09907407407407406,0.9009259259259259,500.0,32.0,0.7801399497728854,0.11018518518518519,0.8898148148148148
47,18.0,5.0,500.0,32.0,0.8040953612538635,0.09722222222222221,0.9027777777777779,101.0,256.0,0.756144244271021,0.1222222222222222,0.8777777777777779
48,19.0,5.0,300.0,32.0,0.8251665195809054,0.08703703703703704,0.912962962962963,500.0,32.0,0.8211187151760054,0.0898148148148148,0.9101851851851851
49,20.0,5.0,101.0,32.0,0.8088754778177594,0.09537037037037037,0.9046296296296298,500.0,32.0,0.8135202532016346,0.09351851851851851,0.9064814814814814
50,21.0,5.0,300.0,32.0,0.8803739457029689,0.06018518518518519,0.9398148148148147,500.0,32.0,0.8524200751707458,0.07407407407407407,0.9259259259259258
51,22.0,5.0,500.0,32.0,0.8518010291595196,0.07407407407407407,0.9259259259259259,300.0,32.0,0.8204919290653608,0.09074074074074073,0.9092592592592593
52,23.0,5.0,500.0,32.0,0.8427962479557569,0.0787037037037037,0.9212962962962962,500.0,32.0,0.828613868362613,0.08611111111111111,0.913888888888889
53,24.0,5.0,500.0,32.0,0.8055044958691804,0.09722222222222222,0.9027777777777777,500.0,32.0,0.8082428405643409,0.0962962962962963,0.9037037037037037
54,25.0,5.0,300.0,32.0,0.8708511413994765,0.06481481481481481,0.9351851851851851,500.0,32.0,0.8208105309704539,0.08981481481481482,0.9101851851851851
55,26.0,5.0,500.0,32.0,0.8315626068940285,0.08425925925925926,0.9157407407407406,500.0,32.0,0.8289195784471154,0.08611111111111111,0.913888888888889
56,27.0,5.0,101.0,32.0,0.8193834024555786,0.09074074074074073,0.9092592592592592,500.0,32.0,0.8220974303252403,0.09166666666666667,0.9083333333333334
57,28.0,5.0,500.0,32.0,0.8540759969229506,0.07314814814814816,0.9268518518518517,500.0,32.0,0.8556864322637386,0.07222222222222222,0.9277777777777778
58,29.0,5.0,500.0,32.0,0.816709691184388,0.09166666666666666,0.9083333333333334,500.0,32.0,0.8052303848904672,0.09907407407407406,0.9009259259259259
59,30.0,5.0,500.0,256.0,0.7963805254694755,0.10185185185185183,0.8981481481481481,300.0,32.0,0.7819488465316335,0.10925925925925925,0.8907407407407406
60,1.0,5.5,500.0,32.0,0.8234492436677998,0.08796296296296297,0.912037037037037,500.0,512.0,0.7531281659724021,0.125,0.875
61,2.0,5.5,500.0,32.0,0.8332493590960507,0.08055555555555556,0.9194444444444445,300.0,512.0,0.8061030001128117,0.09444444444444441,0.9055555555555556
62,3.0,5.5,300.0,256.0,0.8167723671190543,0.09074074074074072,0.9092592592592593,300.0,32.0,0.755891855839157,0.1222222222222222,0.8777777777777779
63,4.0,5.5,300.0,32.0,0.8142076955869321,0.08981481481481482,0.9101851851851853,500.0,512.0,0.7668395085939749,0.11574074074074074,0.8842592592592593
64,5.0,5.5,500.0,32.0,0.8041384775862068,0.09537037037037036,0.9046296296296298,500.0,512.0,0.7674440525045724,0.11574074074074074,0.8842592592592593
