,threshold,N_Split,Split,Accuracy,Sensitiv.,Specif.,MCC,Positive pred,Negative pred,False positive,False negative
0,5.0,5.0,0.0,0.9675925925925926,0.8125,0.9945652173913043,0.8669214468630108,0.9629629629629629,0.9682539682539683,0.005434782608695652,0.1875
1,5.0,5.0,1.0,0.9212962962962963,0.3333333333333333,0.9468599033816425,0.22741775761782826,0.21428571428571427,0.9702970297029703,0.05314009661835749,0.6666666666666666
2,5.0,5.0,2.0,0.7777777777777778,0.8928571428571429,0.6538461538461539,0.5656697125166719,0.7352941176470589,0.85,0.34615384615384615,0.10714285714285714
3,5.0,5.0,3.0,0.8611111111111112,0.9807692307692307,0.55,0.6379052256590134,0.85,0.9166666666666666,0.45,0.019230769230769232
4,5.0,5.0,4.0,0.7361111111111112,0.8972602739726028,0.4,0.3484215771445816,0.7572254335260116,0.6511627906976745,0.6,0.10273972602739725
5,5.0,10.0,0.0,0.9722222222222222,0.9615384615384616,0.975609756097561,0.9252891980686573,0.9259259259259259,0.9876543209876543,0.024390243902439025,0.038461538461538464
6,5.0,10.0,1.0,0.9722222222222222,0.0,1.0,,,0.9722222222222222,0.0,1.0
7,5.0,10.0,2.0,1.0,-,-,-,-,-,-,-
8,5.0,10.0,3.0,0.8611111111111112,0.42857142857142855,0.8910891089108911,0.23429919022539702,0.21428571428571427,0.9574468085106383,0.10891089108910891,0.5714285714285714
9,5.0,10.0,4.0,0.8981481481481481,0.9583333333333334,0.7777777777777778,0.7670694072196138,0.8961038961038961,0.9032258064516129,0.2222222222222222,0.041666666666666664
10,5.0,10.0,5.0,0.75,0.82,0.6896551724137931,0.5104478621785227,0.6949152542372882,0.8163265306122449,0.3103448275862069,0.18
11,5.0,10.0,6.0,0.9074074074074074,0.9863013698630136,0.7428571428571429,0.7881212021981183,0.8888888888888888,0.9629629629629629,0.2571428571428571,0.0136986301369863
12,5.0,10.0,7.0,0.8703703703703703,0.967032967032967,0.35294117647058826,0.42161998654894284,0.8888888888888888,0.6666666666666666,0.6470588235294118,0.03296703296703297
13,5.0,10.0,8.0,0.7685185185185185,0.8831168831168831,0.4838709677419355,0.3993306386994736,0.8095238095238095,0.625,0.5161290322580645,0.11688311688311688
14,5.0,10.0,9.0,0.8240740740740741,0.926829268292683,0.5,0.47926530244525006,0.8539325842696629,0.6842105263157895,0.5,0.07317073170731707
15,5.5,5.0,0.0,0.9675925925925926,0.8076923076923077,0.9894736842105263,0.8409490123046068,0.9130434782608695,0.9740932642487047,0.010526315789473684,0.19230769230769232
16,5.5,5.0,1.0,0.9212962962962963,0.0,0.9521531100478469,-0.04032201870627129,0.0,0.9660194174757282,0.04784688995215311,1.0
17,5.5,5.0,2.0,0.7453703703703703,0.8636363636363636,0.6640625,0.5212824838841018,0.6386554621848739,0.8762886597938144,0.3359375,0.13636363636363635
18,5.5,5.0,3.0,0.5462962962962963,0.9206349206349206,0.39215686274509803,0.30997464719603324,0.3841059602649007,0.9230769230769231,0.6078431372549019,0.07936507936507936
19,5.5,5.0,4.0,0.6157407407407407,0.8018018018018018,0.41904761904761906,0.23962647896434444,0.5933333333333334,0.6666666666666666,0.580952380952381,0.1981981981981982
20,5.5,10.0,0.0,0.9259259259259259,0.8260869565217391,0.9529411764705882,0.7790281329923273,0.8260869565217391,0.9529411764705882,0.047058823529411764,0.17391304347826086
21,5.5,10.0,1.0,1.0,-,-,-,-,-,-,-
22,5.5,10.0,2.0,1.0,-,-,-,-,-,-,-
